Name,Address,Cuisine Tags,Rating,Features,Price Range,Detail URL,Reservation Link,Source URL,Opening Hours,Popular Dishes,Detailed Address
Crab House Brooklyn All You Can Eat Seafood,Coney Island,"Seafood, Buffets, Cajun/Creole",4.3,"not allow Delivery, allow Takeout",over $61,https://www.yelp.com/biz/crab-house-brooklyn-all-you-can-eat-seafood-brooklyn-4?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,"Mon: 4:00 PM - 9:30 PM, Tue: 4:00 PM - 9:30 PM, Wed: 4:00 PM - 9:30 PM, Thu: 4:00 PM - 9:30 PM, Fri: 4:00 PM - 10:00 PM, Sat: 12:30 PM - 10:00 PM, Sun: 12:30 PM - 9:30 PM",,"1223 Surf Ave, Brooklyn, NY 11224"
Macosa Trattoria,Bedford Stuyvesant,"Italian, Comfort Food",4.5,"allow Outdoor seating, not allow Delivery, allow Takeout",,https://www.yelp.com/biz/macosa-trattoria-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,"Mon: Closed, Tue: 5:00 PM - 10:00 PM, Wed: 5:00 PM - 10:00 PM, Thu: 5:00 PM - 10:00 PM, Fri: 5:00 PM - 11:00 PM, Sat: 5:00 PM - 11:00 PM, Sun: 12:00 PM - 4:00 PM 5:00 PM - 10:00 PM","Oxtail Ragu, Olive Oil Cake, Burrata, Pappardelle Wild Boar Ragu, Fritto Misto, Seafood Frito Misto, Arancini, Rigatoni Pomodoro E Basilico, Fried Artichokes, Oxtail Pappardelle, Spagehtti Aglio Olio Peperoncino","310 Tompkins Ave, Brooklyn, NY 11216"
The Ryerson,Crown Heights,"Cocktail Bars, American (Traditional)",4.4,"allow Outdoor seating, allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/the-ryerson-brooklyn?osq=Restaurants,https://www.yelp.com/biz/E8gpCgCVaO2hNEPTrh4n2A?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,"Mon: 4:00 PM - 12:00 AM (Next day), Tue: 4:00 PM - 12:00 AM (Next day), Wed: 4:00 PM - 12:00 AM (Next day), Thu: 4:00 PM - 12:00 AM (Next day), Fri: 12:00 PM - 1:00 AM (Next day), Sat: 11:00 AM - 1:00 AM (Next day), Sun: 11:00 AM - 12:00 AM (Next day)","Fried Chicken, Deviled Eggs, Pork Candy, Ryerson Double Burger, Blueberry Hot Honey, Hot Chicken, Blue Crab, Fish and Chips, Classics, Chocolate Chess Pie, Beyond Burger, Spare Ribs, Oysters","698 Nostrand Ave, Brooklyn, NY 11216"
Altar,Crown Heights,"Cocktail Bars, Wine Bars, Tapas/Small Plates",4.6,"allow Outdoor seating, not allow Delivery, not allow Takeout",,https://www.yelp.com/biz/altar-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,"Mon: 5:00 PM - 12:00 AM (Next day), Tue: 5:00 PM - 12:00 AM (Next day), Wed: 5:00 PM - 12:00 AM (Next day), Thu: 5:00 PM - 2:00 AM (Next day), Fri: 5:00 PM - 2:00 AM (Next day), Sat: 2:00 PM - 2:00 AM (Next day), Sun: 2:00 PM - 12:00 AM (Next day)","Inner Clarity, Holy Smoke, Duck Magret, Patatas Bravas, Lobster Rolls, Arctic Char, Cheeky Baby, Steak Tartare, Lemon Ricotta Pan Cakes, Poke, Whiskey Af, Sliders","645 Sterling Pl, Brooklyn, NY 11238"
Secret Garden,Bedford Stuyvesant,"Cafes, Tea Rooms, Vegan",4.8,"allow Outdoor seating, allow Delivery, allow Takeout",,https://www.yelp.com/biz/secret-garden-brooklyn-4?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,"Mon: Closed, Tue: 12:00 PM - 8:00 PM, Wed: 12:00 PM - 8:00 PM, Thu: 12:00 PM - 8:00 PM, Fri: 12:00 PM - 8:00 PM, Sat: 12:00 PM - 9:00 PM, Sun: 9:00 AM - 7:00 PM","Honey Ginger Matcha, Vegan Philly Cheesesteak, Sunshine, Vegan Chickpea Sandwich, Cheese Steak, Coconut Roll, Zodiac, Heartbeat","347 Lewis Ave, Brooklyn, NY 11233"
Cornbread Brooklyn,Crown Heights,"Soul Food, Southern",4.3,not allow Outdoor seating,$11-30,https://www.yelp.com/biz/cornbread-brooklyn-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,"Mon: 11:00 AM - 10:00 PM, Tue: 11:00 AM - 10:00 PM, Wed: 11:00 AM - 10:00 PM, Thu: 11:00 AM - 10:00 PM, Fri: 11:00 AM - 10:00 PM, Sat: 11:00 AM - 10:00 PM, Sun: 11:00 AM - 10:00 PM","Fried Chicken, Turkey Wings, Fried Catfish, Uptown, Southern Twang, Yellow Rice, Baked Chicken, Piece Chicken, Candied Yams, Fried Whiting","409 Eastern Pkwy, New York, NY 11216"
Bar Camillo,Bedford Stuyvesant,"Italian, Pizza, Beer, Wine & Spirits",4.3,"allow Outdoor seating, allow Delivery, allow Takeout",,https://www.yelp.com/biz/bar-camillo-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,"Mon: 5:00 PM - 10:00 PM, Tue: 5:00 PM - 10:00 PM, Wed: 5:00 PM - 10:00 PM, Thu: 5:00 PM - 10:00 PM, Fri: 5:00 PM - 10:00 PM, Sat: 5:00 PM - 10:00 PM, Sun: 5:00 PM - 10:00 PM","Meatballs, Cacio E Pepe, Salsiccia, Funghi Pinsa Wild Mushrooms, Margherita Pizza, Pesto Lasagna, Focaccia, Carciofi, Capricciosa, Pinsa Special","333 Tompkins Ave, Brooklyn, NY 11216"
Brooklyn Residency,Bedford Stuyvesant,Cafes,4.5,"not allow Outdoor seating, allow Delivery",,https://www.yelp.com/biz/brooklyn-residency-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,"Mon: 10:00 AM - 6:00 PM, Tue: 10:00 AM - 6:00 PM, Wed: 10:00 AM - 6:00 PM, Thu: 10:00 AM - 6:00 PM, Fri: 10:00 AM - 6:00 PM, Sat: 12:00 PM - 7:00 PM, Sun: 12:00 PM - 7:00 PM","Fried Chicken & Waffles Breakfast, Fried Fish & Grits Breakfast, Honey Jerk Wings & Waffles Breakfast","346 Malcolm X Blvd, Brooklyn, NY 11233"
Names,Prospect Lefferts Gardens,"Ramen, Beer, Wine & Spirits, Seafood",4.1,"not allow Delivery, allow Takeout",$11-30,https://www.yelp.com/biz/names-brooklyn-3?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,"Mon: 8:00 AM - 10:30 PM, Tue: 8:00 AM - 10:30 PM, Wed: 8:00 AM - 10:30 PM, Thu: 8:00 AM - 10:30 PM, Fri: 8:00 AM - 10:30 PM, Sat: 8:00 AM - 10:30 PM, Sun: 8:00 AM - 10:30 PM","Spicy Miso Curry Ramen, Mushroom Ramen, Fried Chicken Sandwich, Brussels, Smoked Wings, Spicy Chili Ramen, Vegan Caesar Salad","453 Rogers Ave, Brooklyn, NY 11225"
Peaches HotHouse,Bedford Stuyvesant,"Southern, American (Traditional), Bars",3.9,"allow Outdoor seating, allow Delivery",$11-30,https://www.yelp.com/biz/peaches-hothouse-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Brooklyn%2C+NY,"Mon: 11:00 AM - 10:00 PM, Tue: 11:00 AM - 10:00 PM, Wed: 11:00 AM - 10:00 PM, Thu: 11:00 AM - 10:00 PM, Fri: 11:00 AM - 11:00 PM, Sat: 11:00 AM - 11:00 PM, Sun: 11:00 AM - 10:00 PM","Fried Chicken, Hot Chicken, Extra Hot, Chicken Sandwich, French Toast, Hot "" Ist Wirklich "" Hot, Fried Shrimp, BBQ Shrimp, Spicy Chicken, Fried Catfish, Sweet Bourbon Cake, Shrimp Sandwich, Blackened Catfish, Grilled Broccoli","415 Tompkins Ave, Brooklyn, NY 11216"
